dataset,k,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
hexaco_k7.csv,7,22783,10,10000,0.0435,0.0448,0.0479,0.0042,NA,0.0441,0.0387,0.0667,0.0334,0.1327,0.034,0,0,0,0,10000,0,0,0,0,0,0,83.45235395431519
hexaco_k7.csv,7,22783,25,10000,0.0622,0.0632,0.0662,0.0071,0.0442,0.0627,0.0401,0.0766,0.0737,0.2058,0.0477,0,0,0,0,0,0,0,0,0,0,0,84.52687501907349
hexaco_k7.csv,7,22783,50,10000,0.1061,0.108,0.1062,0.0084,0.0826,0.0991,0.0549,0.0919,0.1428,0.2603,0.086,0,0,0,0,0,0,0,0,0,0,0,78.7774248123169
hexaco_k7.csv,7,22783,100,10000,0.2524,0.2246,0.2305,0.0153,0.2215,0.196,0.1378,0.1877,0.296,0.3849,0.1908,0,0,0,0,0,0,0,0,0,0,0,76.6076672077179
hexaco_k7.csv,7,22783,250,10000,0.7789,0.65,0.6437,0.4284,0.735,0.5533,0.6117,0.7046,0.6679,0.7123,0.602,0,0,0,0,0,0,0,0,0,0,0,85.23039388656616
hexaco_k7.csv,7,22783,500,10000,0.9959,0.9702,0.9641,0.9712,0.9914,0.9263,0.9844,0.9949,0.9397,0.9469,0.9522,0,0,0,0,0,0,0,0,0,0,0,99.73382377624512
hexaco_k7.csv,7,22783,1000,10000,1,1,1,1,1,1,1,0.9999,0.9997,0.9993,1,0,0,0,0,0,0,0,0,0,0,0,130.75766110420227
hexaco_k7.csv,7,22783,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,162.54982781410217
mach_k5.csv,5,73486,10,10000,0.0463,0.0475,0.0476,0.0032,NA,0.0458,0.0392,0.0684,0.0359,0.1495,0.0345,0,0,0,0,10000,0,0,0,0,0,0,76.14687013626099
mach_k5.csv,5,73486,25,10000,0.0626,0.0676,0.0651,0.0032,0.0479,0.0683,0.0299,0.0739,0.1032,0.2649,0.0481,0,0,0,0,0,0,0,0,0,0,0,81.60245943069458
mach_k5.csv,5,73486,50,10000,0.1223,0.127,0.1074,0.0029,0.1318,0.1192,0.0523,0.0904,0.2331,0.3472,0.1089,0,0,0,0,0,0,0,0,0,0,0,72.19515800476074
mach_k5.csv,5,73486,100,10000,0.3278,0.2806,0.2272,0.0123,0.3811,0.2467,0.1708,0.1589,0.4949,0.5381,0.26,0,0,0,0,0,0,0,0,0,0,0,70.53853106498718
mach_k5.csv,5,73486,250,10000,0.9088,0.7667,0.6607,0.6271,0.9094,0.6746,0.7676,0.4872,0.8993,0.8886,0.7705,0,0,0,0,0,0,0,0,0,0,0,79.559086561203
mach_k5.csv,5,73486,500,10000,1,0.9911,0.9706,0.9969,0.9994,0.9716,0.9991,0.9701,0.9972,0.9943,0.991,0,0,0,0,0,0,0,0,0,0,0,93.46408009529114
mach_k5.csv,5,73486,1000,10000,1,1,0.9999,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,123.79398369789124
mach_k5.csv,5,73486,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,152.38380599021912
rse_k4.csv,4,46546,10,10000,0.0453,0.0442,0.0439,0.0044,NA,0.0443,0.0381,0.0702,0.0319,0.1275,0.0306,0,0,0,0,10000,0,0,0,0,0,0,79.74878144264221
rse_k4.csv,4,46546,25,10000,0.0516,0.058,0.0654,0.001,0.035,0.0584,0.0259,0.0899,0.0792,0.1997,0.0338,0,0,0,0,0,0,0,0,0,0,0,80.87422847747803
rse_k4.csv,4,46546,50,10000,0.1024,0.097,0.1162,4e-4,0.1079,0.0838,0.0355,0.1132,0.2078,0.2586,0.0663,0,0,0,0,0,0,0,0,0,0,0,76.50946402549744
rse_k4.csv,4,46546,100,10000,0.3083,0.2129,0.2521,0.0013,0.3186,0.1615,0.1208,0.3526,0.4791,0.3769,0.1397,0,0,0,0,0,0,0,0,0,0,0,73.26496958732605
rse_k4.csv,4,46546,250,10000,0.9731,0.7549,0.7239,0.3705,0.8504,0.5596,0.8321,0.6957,0.9338,0.7025,0.5086,0,0,0,0,0,0,0,0,0,0,0,81.5847692489624
